RPS4Y1
POSTN
LTF
TMSL8
CHI3L1
PMP2
FABP7
CXCL14
RP11-35N6.1
PLA2G2A
PLP1
STMN2
DCX
PTPRZ1
HLA-DQA1
TF
IL13RA2
C1orf61
SLN
AGXT2L1
COL6A3
AQP1
SLPI
ATP1A2
KCNJ16
NNMT
CHI3L2
NCAN
MEOX2
F13A1
COL11A1
SCRG1
GPM6A
COL3A1
DKK1
S100B
PTX3
KRT18
SERPINA3
DLK1
AGT
IGF2
TAC1
GABRB1
CCL2
FCGBP
CXCL10
HBB
GPR37
PTN
TUBB2B
BAALC
GRIA2
SCG2
LUM
APOD
CHL1
LMO3
MBP
SOX11
MOXD1
NPTX2
TOX3
SCG3
NNAT
OMG
HOPX
BEX1
PTGDS
TIMP4
GPR17
TTYH1
CD163
INSM1
FAM107A
GAP43
TCEAL2
PLA2G5
CA3
MYBPC1
TACSTD1
BBOX1
TRIM9
FABP5
ERBB3
SCN3A
PROM1
GPM6B
RTN1
CX3CR1
RBP1
MMP7
EGFR
PI3
NR2E1
MAOB
MMP9
SPOCK1
HBA2
CRYAB
SYT1
KRT19
NEFL
KCND2
LANCL2
TMEM100
SNAP25
COL1A2
CCL18
AQP4
SLC1A3
VSNL1
ELAVL4
ENPP2
NPY
IFI44L
FAM5C
ZIC1
DLL3
DDX3Y
PDPN
NKX2-2
ATP1B2
IL8
HAMP
PIPOX
C21orf62
AKR1C3
VSIG4
UGT8
MGP
EIF1AY
NDN
LYZ
SRPX
SH3GL2
HLA-DRA
RCAN2
CDO1
MXRA5
MOG
VCAM1
SPARCL1
ZFPM2
RIT2
LPL
EFEMP1
ABCA8
BCHE
LRRC17
CSPG5
CXCL2
LGI1
FXYD6
FXYD1
UBD
IGFBP3
HP
JARID1D
HSPB8
MAN1C1
AGR2
EMX2
SLCO1C1
AGTRL1
ACSBG1
TDO2
GATM
SPON1
DIRAS2
DSP
TMEM158
FAM70A
WIF1
TAGLN
RYR3
SNAP91
S100A8
NFASC
GPX3
CP
IGKC
ADM
PDGFRA
CDH10
SCG5
KIF1A
RGS20
CA10
IFI27
NES
COL9A3
CHODL
C1QB
TPBG
AMIGO2
ALDOC
NDP
HLA-DQB1
OXTR
EDNRB
DPP6
PLEKHB1
IGFBP2
SLC6A1
TNC
RSAD2
HOXA5
C3
CTNND2
MLC1
TUBB4
ALOX5AP
ELOVL2
CLDN10
NELL2
SERPINA1
LRRTM2
SERPING1
PCP4
CTNNA2
AEBP1
SPP1
ALDH1L1
KLHL4
RARRES2
C20orf42
SNX10
PLAC8
THBS4
MS4A4A
ALDH1A1
NETO2
IFIT1
GPC5
MOBP
RAB33A
SULF1
FOLR1
TMEM176B
TNFAIP6
C1S
KCNIP1
SOCS2
GPNMB
CH25H
PCDH8
KAL1
TSPAN8
MYT1L
HLA-DPB1
PCDH9
HLA-DRB1
DPYD
KIAA0644
ALDH1A3
CXCL9
GSTT1
HMGA2
KCNN2
CCK
CAV1
FGF13
S100P
MAP1B
NMB
MAL
PCSK1N
PDGFD
LRAP
PCSK1
DIRAS3
ASS1
PBK
ASPN
KIF5C
SERPINE1
KLK6
FCGR2B
BCAS1
C14orf132
GLT25D2
DCN
STMN4
MX1
S100A9
LPPR4
DCLK1
DLX5
COL5A2
RPH3A
GPRC5A
COLEC12
CRYM
RNASE1
CXorf57
CRMP1
BAI3
C1QA
HEPH
PCOLCE2
HOXC6
HRASLS
ADAMTS3
EEF1A2
AKAP12
GBP1
LRRN3
TSPAN7
TREM1
TOP2A
MLLT11
APOC2
COL5A1
ASTN1
TWIST1
ABAT
OPCML
XAF1
CD14
TUSC3
INA
LHX2
PDZD2
FBLN5
HLA-DPA1
CCL4
DAAM2
CCL20
CSTA
MATN2
NTRK2
AZGP1
MSTN
ISG15
CDKN2A
NRN1
C10orf116
ARC
HSD17B6
CA12
S100A4
DBC1
NEFM
SERPINI1
NTSR2
RGS1
MMP12
CFI
BASP1
FRZB
NMU
LPHN3
HMOX1
CYR61
DOK5
AHNAK2
CTSK
MAFB
TAC3
SFN
CA2
RAMP1
VEGFA
PSPH
SRPX2
ID4
IER3
FBN2
EMP3
CRABP1
CYTL1
SLC14A1
CD55
CITED1
SOX9
FMOD
RCAN1
NDRG4
PERP
CNGA3
SERPINF1
ATP6V1G2
FLRT3
EMP2
PEG10
ZBTB16
CHRNA9
LY96
SLC1A2
STEAP1
GLDC
CRIP1
SPRY4
CXCL11
ADAMDEC1
ME1
DDX25
HSPA2
TYROBP
CCND2
BAMBI
FAM119B
ID1
DNM3
CLEC5A
KRT8
GALR1
COX7A1
SYT11
PPBP
HOXB2
PGAM2
MEIS2
HMP19
EFHD1
COL1A1
ABCC3
AIM1
FCER1G
TSPAN12
TRIB2
FOS
NRGN
MEST
CD74
APOC1
HIG2
COL4A1
TMEM176A
LRP4
ANGPT1
C13orf15
RARRES1
FOXG1
PKIA
SDC4
NT5E
MAP2
ANXA3
D4S234E
CEACAM6
ITM2A
DKFZP586H2123
REEP1
PCOLCE
CORO2B
RASGRP1
ASPM
LMO2
GJA1
RASSF2
NLGN4X
PLLP
PAQR6
TAGLN3
LGALS3
SH3BGR
CDH19
A2M
HCP5
GAL
TFPI2
CAMK2N1
TGFBI
SFRP1
CLU
RALYL
GFPT2
CYP1B1
SELENBP1
RNF128
SLITRK3
FA2H
NAP1L3
RARRES3
LAMB1
GULP1
MYLK
CPE
C3orf14
TMEM47
IL6
FZD6
TMOD1
HLA-DMA
RPE65
PTGS2
SDC3
ANGPTL4
NLGN4Y
OLR1
HOXA4
ECM2
EVI2A
HIST3H2A
BCAN
IGFBP6
C8orf4
FAM5B
GNG3
KLRC3
STAC
IFI6
FABP4
KCNE1L
CFH
ANGPT2
PIR
THSD7A
ASPA
MNDA
HOXB7
PNOC
SLC38A1
LY86
ATP10B
TREM2
TPPP3
MS4A6A
ANXA1
RRM2
PADI2
SPRY2
DLG7
PAX6
PSRC1
CKB
TRIM22
GALNT3
UCHL1
TTK
SST
ARHGEF6
SNAI2
SOD2
CAPN3
BCL2A1
GNAI1
SCUBE2
POU3F2
SNCAIP
NUDT11
FZD7
HTRA1
RUNDC3A
ACTA2
CD53
KLHDC8A
MYOT
FLNC
NID2
SLC17A7
MMP1
RASL11B
MFAP2
C4orf31
PHLPP
ELMO1
PBEF1
ANK2
SELL
DYNC1I1
MLF1IP
PID1
LOXL1
IFITM1
CLEC3B
PLEKHA5
TSPAN31
SFTPC
SLC4A4
SAMSN1
EYA1
SLC24A3
NR0B1
IGF2BP2
WASF3
TMEM35
PCDH17
SEC61G
LRP1B
SV2A
BHLHB3
TNFSF10
OAS1
CD52
PLTP
SHROOM2
C9orf61
SYNC1
GABRA2
GABBR1
CLGN
BST2
CAMK2B
