ebv-miR-BART1-3p
ebv-miR-BART1-5p
ebv-miR-BART10
ebv-miR-BART11-3p
ebv-miR-BART11-5p
ebv-miR-BART12
ebv-miR-BART13
ebv-miR-BART14-3p
ebv-miR-BART14-5p
ebv-miR-BART15
ebv-miR-BART16
ebv-miR-BART17-3p
ebv-miR-BART17-5p
ebv-miR-BART18
ebv-miR-BART19
ebv-miR-BART2
ebv-miR-BART20-3p
ebv-miR-BART20-5p
ebv-miR-BART3-3p
ebv-miR-BART3-5p
ebv-miR-BART4
ebv-miR-BART5
ebv-miR-BART6-3p
ebv-miR-BART6-5p
ebv-miR-BART7
ebv-miR-BART8-3p
ebv-miR-BART8-5p
ebv-miR-BART9
ebv-miR-BHRF1-1
ebv-miR-BHRF1-2
ebv-miR-BHRF1-2*
ebv-miR-BHRF1-3
hcmv-miR-UL112
hcmv-miR-UL148D
hcmv-miR-UL22A
hcmv-miR-UL22A*
hcmv-miR-UL36
hcmv-miR-UL70-3p
hcmv-miR-UL70-5p
hcmv-miR-US25-1
hcmv-miR-US25-2-3p
hcmv-miR-US25-2-5p
hcmv-miR-US33
hcmv-miR-US4
hcmv-miR-US5-1
hcmv-miR-US5-2
hsa-let-7a
hsa-let-7b
hsa-let-7c
hsa-let-7d
hsa-let-7e
hsa-let-7f
hsa-let-7g
hsa-let-7i
hsa-miR-1
hsa-miR-100
hsa-miR-101
hsa-miR-103
hsa-miR-105
hsa-miR-106a
hsa-miR-106b
hsa-miR-107
hsa-miR-10a
hsa-miR-10b
hsa-miR-122a
hsa-miR-124a
hsa-miR-125a
hsa-miR-125b
hsa-miR-126
hsa-miR-126*
hsa-miR-127
hsa-miR-128a
hsa-miR-128b
hsa-miR-129
hsa-miR-130a
hsa-miR-130b
hsa-miR-132
hsa-miR-133a
hsa-miR-133b
hsa-miR-134
hsa-miR-135a
hsa-miR-135b
hsa-miR-136
hsa-miR-137
hsa-miR-138
hsa-miR-139
hsa-miR-140
hsa-miR-141
hsa-miR-142-3p
hsa-miR-142-5p
hsa-miR-143
hsa-miR-144
hsa-miR-145
hsa-miR-146a
hsa-miR-146b
hsa-miR-147
hsa-miR-148a
hsa-miR-148b
hsa-miR-149
hsa-miR-150
hsa-miR-151
hsa-miR-152
hsa-miR-153
hsa-miR-154
hsa-miR-154*
hsa-miR-155
hsa-miR-15a
hsa-miR-15b
hsa-miR-16
hsa-miR-17-3p
hsa-miR-17-5p
hsa-miR-181a
hsa-miR-181a*
hsa-miR-181b
hsa-miR-181c
hsa-miR-181d
hsa-miR-182
hsa-miR-182*
hsa-miR-183
hsa-miR-184
hsa-miR-185
hsa-miR-186
hsa-miR-187
hsa-miR-188
hsa-miR-189
hsa-miR-18a
hsa-miR-18a*
hsa-miR-18b
hsa-miR-190
hsa-miR-191
hsa-miR-191*
hsa-miR-192
hsa-miR-193a
hsa-miR-193b
hsa-miR-194
hsa-miR-195
hsa-miR-196a
hsa-miR-196b
hsa-miR-197
hsa-miR-198
hsa-miR-199a
hsa-miR-199a*
hsa-miR-199b
hsa-miR-19a
hsa-miR-19b
hsa-miR-200a
hsa-miR-200a*
hsa-miR-200b
hsa-miR-200c
hsa-miR-202
hsa-miR-202*
hsa-miR-203
hsa-miR-204
hsa-miR-205
hsa-miR-206
hsa-miR-208
hsa-miR-20a
hsa-miR-20b
hsa-miR-21
hsa-miR-210
hsa-miR-211
hsa-miR-212
hsa-miR-214
hsa-miR-215
hsa-miR-216
hsa-miR-217
hsa-miR-218
hsa-miR-219
hsa-miR-22
hsa-miR-220
hsa-miR-221
hsa-miR-222
hsa-miR-223
hsa-miR-224
hsa-miR-23a
hsa-miR-23b
hsa-miR-24
hsa-miR-25
hsa-miR-26a
hsa-miR-26b
hsa-miR-27a
hsa-miR-27b
hsa-miR-28
hsa-miR-296
hsa-miR-299-3p
hsa-miR-299-5p
hsa-miR-29a
hsa-miR-29b
hsa-miR-29c
hsa-miR-301
hsa-miR-302a
hsa-miR-302a*
